School,SRC School ID,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2015-16 Learning Network,2016-17 Learning Network,Notes,Overall Score,Overall Tier,Overall City Rank,Overall Peer Rank,Ach Score,Ach Tier,Ach City Rank,Ach Peer Rank,Prog Score,Prog Tier,Prog City Rank,Prog Peer Rank,Clim Score,Clim Tier,Clim City Rank,Clim Peer Rank,CC Score,CC Tier,CC City Rank,CC Peer Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L20P) Score,Keystone Alg1 AGI (L20P) Pts Earn,Keystone Alg1 AGI (L20P) Pts Poss,Keystone Alg1 AGI (L20P) Pct Earn,Keystone Alg1 AGI (L20P) Tier,Keystone Bio AGI (L20P) Score,Keystone Bio AGI (L20P) Pts Earn,Keystone Bio AGI (L20P) Pts Poss,Keystone Bio AGI (L20P) Pct Earn,Keystone Bio AGI (L20P) Tier,Keystone Lit AGI (L20P) Score,Keystone Lit AGI (L20P) Pts Earn,Keystone Lit AGI (L20P) Pts Poss,Keystone Lit AGI (L20P) Pct Earn,Keystone Lit AGI (L20P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI Score,AP/IB/NOCTI Denom,AP/IB/NOCTI Pts Earn,AP/IB/NOCTI Pts Poss,AP/IB/NOCTI Pct Earn,AP/IB/NOCTI Tier,AP/IB/NOCTI (Participants) Score,AP/IB/NOCTI (Participants) Denom,AP/IB/NOCTI (Non-Participants) Score,AP/IB/NOCTI (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect Distinguished Score,Teach Effect Instruction Score,Teacher Attendance Score,Student Survey Teaching Score
Architecture and Design Charter School,W17,HS,High School,105 S. 7th St.,Philadelphia,PA,19106,215-351-2900,215-351-9458,Charter,N/A,534,www.chadphila.org,'9-12',Citywide,3,Charter,Charter,,17,INTERVENE,57th out of 83,19th out of 22,1,INTERVENE,59th out of 79,16th out of 19,20,INTERVENE,59th out of 83,18th out of 22,23,INTERVENE,62nd out of 84,21st out of 21,40,WATCH,35th out of 77,12th out of 20,10,188,0,8,0,INTERVENE,2,188,.13,1.5,9,INTERVENE,9,93,0,8,0,INTERVENE,2,93,.13,1.5,9,INTERVENE,17,113,0,8,0,INTERVENE,0,113,0,1.5,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-3.86,0,6.5,0,INTERVENE,-1.21,0,6.5,0,INTERVENE,-8.85,0,6.5,0,INTERVENE,85,313,3.99,8,50,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.89,1.45,1.5,96,MODEL,.79,.9,1.5,60,REINFORCE,-4.32,0,1.5,0,INTERVENE,25,575,.81,8,10,INTERVENE,27,575,18,575,11,575,20,575,79,529,2.64,6,44,WATCH,100,575,.5,.5,100,MODEL,77,575,.6,2.5,24,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,90,140,2.7,4.5,60,REINFORCE,52,129,.73,1.5,49,WATCH,0,128,0,1,0,INTERVENE,1,128,99,128,2,128,0,1,0,INTERVENE,76,128,23,128,55,128,.61,1,61,REINFORCE,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
Freire Charter School,W18,HS,High School,2027 Chestnut St.,Philadelphia,PA,19103,215-557-8555,215-557-9051,Charter,N/A,503,www.freirecharterschool.org,'9-12',Citywide,3,Charter,Charter,,54,REINFORCE,16th out of 83,4th out of 22,20,INTERVENE,20th out of 79,3rd out of 19,82,MODEL,6th out of 83,3rd out of 22,64,REINFORCE,34th out of 84,11th out of 21,28,WATCH,47th out of 77,16th out of 20,36,225,1.6,8,20,INTERVENE,6,225,.37,1.5,25,WATCH,30,201,.99,8,12,INTERVENE,3,201,.21,1.5,14,INTERVENE,43,187,2.33,8,29,WATCH,2,187,.1,1.5,6,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,7.78,6.5,6.5,100,MODEL,4.17,6.5,6.5,100,MODEL,1.41,5.22,6.5,80,MODEL,90,353,5.21,8,65,REINFORCE,75,40,4.2,6,70,REINFORCE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,3.37,1.5,1.5,100,MODEL,3.54,1.5,1.5,100,MODEL,-.29,.36,1.5,24,INTERVENE,46,512,4.08,8,51,REINFORCE,32,512,13,512,4,512,5,512,85,503,5.81,6,97,MODEL,100,512,.48,.5,96,MODEL,79,512,.71,2.5,28,WATCH,68,.68,1,68,REINFORCE,88,.88,1,88,MODEL,14,.09,1,9,INTERVENE,68,82,0,4.5,0,INTERVENE,81,63,1.5,1.5,100,MODEL,4,67,0,1,0,INTERVENE,36,67,60,67,4,67,0,1,0,INTERVENE,96,67,0,67,76,67,1,1,100,MODEL,32,.32,1,32,WATCH,Data Not Available,Data Not Available,Data Not Available,68
"Math, Civics and Sciences Charter School",W21,HS,High School,447 N. Broad St.,Philadelphia,PA,19123,215-923-4880,215-923-4859,Charter,N/A,295,www.mcscs.org,'9-12',Citywide,3,Charter,Charter,,31,WATCH,41st out of 83,13th out of 22,0,INTERVENE,63rd out of 79,17th out of 19,28,WATCH,40th out of 83,14th out of 22,69,REINFORCE,27th out of 84,9th out of 21,50,REINFORCE,25th out of 77,7th out of 20,5,193,0,8,0,INTERVENE,1,193,.06,1.5,4,INTERVENE,5,123,0,8,0,INTERVENE,1,123,.05,1.5,3,INTERVENE,12,115,0,8,0,INTERVENE,0,115,0,1.5,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-4.04,0,6.5,0,INTERVENE,-3.05,0,6.5,0,INTERVENE,-3.11,0,6.5,0,INTERVENE,98,198,7.59,8,95,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,.33,.67,1.5,44,WATCH,.59,.8,1.5,53,REINFORCE,-2.15,0,1.5,0,INTERVENE,49,310,4.7,8,59,REINFORCE,30,310,14,310,4,310,3,310,88,289,6,6,100,MODEL,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,95,310,2.12,2.5,85,MODEL,64,.64,1,64,REINFORCE,0,0,1,0,INTERVENE,2,0,1,0,INTERVENE,90,84,2.79,4.5,62,REINFORCE,66,77,1.12,1.5,75,MODEL,0,76,0,1,0,INTERVENE,28,76,72,76,0,76,0,1,0,INTERVENE,80,76,20,76,67,76,.84,1,84,MODEL,29,.29,1,29,WATCH,Data Not Available,Data Not Available,Data Not Available,36
Philadelphia Academy Charter School,W22,HS,High School,11000 Roosevelt Blvd.,Philadelphia,PA,19116,215-676-8320,215-676-8340,Charter,N/A,457,philadelphiaacademy.org,'9-12',Citywide,5,Charter,Charter,,41,WATCH,24th out of 83,9th out of 10,28,WATCH,16th out of 79,9th out of 10,33,WATCH,34th out of 83,8th out of 10,72,REINFORCE,20th out of 84,10th out of 10,42,WATCH,34th out of 77,9th out of 9,35,92,1.48,8,18,INTERVENE,4,92,.26,1.5,17,INTERVENE,42,192,2.22,8,28,WATCH,14,192,.84,1.5,56,REINFORCE,51,144,3.07,8,38,WATCH,2,144,.12,1.5,8,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-3.24,0,6.5,0,INTERVENE,-1.04,0,6.5,0,INTERVENE,-.01,2.15,6.5,33,WATCH,99,314,7.74,8,97,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.93,0,1.5,0,INTERVENE,.18,.59,1.5,39,WATCH,-1.32,0,1.5,0,INTERVENE,58,460,6.12,8,77,MODEL,30,460,6,460,2,460,3,460,96,449,6,6,100,MODEL,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,94,460,1.98,2.5,79,MODEL,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,2,0,1,0,INTERVENE,89,119,2.53,4.5,56,REINFORCE,65,111,1.09,1.5,72,REINFORCE,7,123,0,1,0,INTERVENE,21,123,72,123,20,123,.26,1,26,WATCH,46,123,34,123,40,123,.3,1,30,WATCH,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
Mastery Charter School at Hardy Williams,W23,HS,High School,5400 Warrington St.,Philadelphia,PA,19143,215-724-2343,215-724-2374,Charter,N/A,363,www.masterycharter.org/schools/hardy-williams-campus,'9-12',Citywide With Criteria,3,Charter,Charter,,13,INTERVENE,66th out of 83,22nd out of 22,2,INTERVENE,57th out of 79,15th out of 19,5,INTERVENE,80th out of 83,20th out of 22,35,WATCH,55th out of 84,19th out of 21,18,INTERVENE,54th out of 77,19th out of 20,8,215,0,8,0,INTERVENE,1,215,.06,1.5,4,INTERVENE,14,152,0,8,0,INTERVENE,2,152,.12,1.5,8,INTERVENE,24,135,.44,8,6,INTERVENE,0,135,0,1.5,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-7.07,0,6.5,0,INTERVENE,-1.51,0,6.5,0,INTERVENE,-1.94,0,6.5,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.9,0,1.5,0,INTERVENE,1.18,1.09,1.5,73,REINFORCE,-.63,.19,1.5,12,INTERVENE,44,403,3.87,8,48,WATCH,22,403,15,403,5,403,13,403,79,363,2.6,6,43,WATCH,99,403,.45,.5,90,MODEL,67,403,0,2.5,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,76,94,.1,4.5,2,INTERVENE,61,72,.98,1.5,66,REINFORCE,4,78,0,1,0,INTERVENE,29,78,67,78,4,78,0,1,0,INTERVENE,85,78,12,78,63,78,.76,1,76,MODEL,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
"Mathematics, Science, and Technology Community Charter School (MaST)",W28,HS,High School,1800 Byberry Rd.,Philadelphia,PA,19116,267-348-1100,267-348-1217,Charter,N/A,414,www.mastccs.org,'9-12',Citywide,5,Charter,Charter,,60,REINFORCE,10th out of 83,6th out of 10,51,REINFORCE,7th out of 79,5th out of 10,51,REINFORCE,19th out of 83,5th out of 10,83,MODEL,11th out of 84,7th out of 10,76,MODEL,5th out of 77,5th out of 9,53,142,3.28,8,41,WATCH,18,142,1.06,1.5,70,REINFORCE,58,123,3.77,8,47,WATCH,26,123,1.5,1.5,100,MODEL,66,117,4.58,8,57,REINFORCE,8,117,.46,1.5,31,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,6.1,6.5,6.5,100,MODEL,.53,3.32,6.5,51,REINFORCE,-.65,.76,6.5,12,INTERVENE,75,275,1.31,8,16,INTERVENE,85,33,5.38,6,90,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-.13,.44,1.5,29,WATCH,.65,.83,1.5,55,REINFORCE,.76,.88,1.5,59,REINFORCE,57,426,5.85,8,73,REINFORCE,33,426,6,426,2,426,2,426,99,412,6,6,100,MODEL,100,426,.5,.5,100,MODEL,99,426,2.42,2.5,97,MODEL,74,.74,1,74,REINFORCE,90,.9,1,90,MODEL,14,.1,1,10,INTERVENE,99,100,4.32,4.5,96,MODEL,72,100,1.28,1.5,85,MODEL,22,101,.29,1,29,WATCH,10,101,68,101,35,101,.62,1,62,REINFORCE,52,101,13,101,69,101,.89,1,89,MODEL,25,.25,1,25,WATCH,Data Not Available,Data Not Available,Data Not Available,59
Franklin Towne Charter High School,W31,HS,High School,5301 Tacony St. Box 310,Philadelphia,PA,19137,215-289-5000,215-535-8910,Charter,N/A,1198,www.franklintowne.org,'9-12',Citywide With Criteria,5,Charter,Charter,,83,MODEL,1st out of 83,1st out of 10,68,REINFORCE,3rd out of 79,3rd out of 10,100,MODEL,1st out of 83,1st out of 10,86,MODEL,8th out of 84,5th out of 10,64,REINFORCE,12th out of 77,7th out of 9,67,414,4.69,8,59,REINFORCE,26,414,1.5,1.5,100,MODEL,79,320,5.91,8,74,REINFORCE,11,320,.66,1.5,44,WATCH,83,334,6.32,8,79,MODEL,4,334,.27,1.5,18,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,24.72,6.5,6.5,100,MODEL,2.61,6.5,6.5,100,MODEL,10.94,6.5,6.5,100,MODEL,100,886,7.97,8,100,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,11.78,1.5,1.5,100,MODEL,3.9,1.5,1.5,100,MODEL,5.86,1.5,1.5,100,MODEL,58,1221,6.04,8,75,MODEL,35,1221,4,1221,1,1221,2,1221,95,1194,6,6,100,MODEL,86,1221,0,.5,0,INTERVENE,99,1221,2.38,2.5,95,MODEL,79,.79,1,79,MODEL,90,.9,1,90,MODEL,51,1,1,100,MODEL,95,284,3.68,4.5,82,MODEL,72,271,1.27,1.5,85,MODEL,17,274,.17,1,17,INTERVENE,6,274,77,274,20,274,.24,1,24,INTERVENE,75,274,5,274,62,274,.73,1,73,REINFORCE,31,.31,1,31,WATCH,Data Not Available,Data Not Available,Data Not Available,73
Mariana Bracetti Academy Charter School,W32,HS,High School,1840 Torresdale Ave.,Philadelphia,PA,19124,215-291-4436,215-291-4985,Charter,N/A,614,www.mbacs.org,'9-12',Citywide,1,Charter,Charter,,54,REINFORCE,15th out of 83,1st out of 12,16,INTERVENE,22nd out of 79,1st out of 12,96,MODEL,2nd out of 83,1st out of 12,53,REINFORCE,43rd out of 84,1st out of 12,33,WATCH,41st out of 77,1st out of 11,31,347,1.11,8,14,INTERVENE,4,347,.26,1.5,17,INTERVENE,24,262,.44,8,6,INTERVENE,3,262,.21,1.5,14,INTERVENE,43,218,2.27,8,28,WATCH,4,218,.25,1.5,17,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,10.33,6.5,6.5,100,MODEL,3.93,6.5,6.5,100,MODEL,7.5,6.5,6.5,100,MODEL,97,447,7.29,8,91,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,6.08,1.5,1.5,100,MODEL,3.81,1.5,1.5,100,MODEL,.85,.93,1.5,62,REINFORCE,38,621,2.88,8,36,WATCH,31,621,17,621,7,621,7,621,92,598,6,6,100,MODEL,69,621,0,.5,0,INTERVENE,90,621,1.67,2.5,67,REINFORCE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,8,0,1,0,INTERVENE,86,132,2.04,4.5,45,WATCH,48,119,.62,1.5,42,WATCH,3,118,0,1,0,INTERVENE,33,118,64,118,7,118,0,1,0,INTERVENE,69,118,24,118,58,118,.67,1,67,REINFORCE,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
Esperanza Academy Charter School,W33,HS,High School,301 W. Hunting Park Ave.,Philadelphia,PA,19140,215-457-3667,215-457-4381,Charter,N/A,776,www.neacademy.net,'9-12',Citywide,3,Charter,Charter,,38,WATCH,28th out of 83,7th out of 22,5,INTERVENE,46th out of 79,13th out of 19,54,REINFORCE,16th out of 83,6th out of 22,52,REINFORCE,45th out of 84,16th out of 21,44,WATCH,31st out of 77,11th out of 20,16,427,0,8,0,INTERVENE,3,427,.18,1.5,12,INTERVENE,9,306,0,8,0,INTERVENE,0,306,.02,1.5,1,INTERVENE,32,286,1.18,8,15,INTERVENE,1,286,.06,1.5,4,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.06,4.46,6.5,69,REINFORCE,-4.01,0,6.5,0,INTERVENE,4.96,6.5,6.5,100,MODEL,83,480,3.5,8,44,WATCH,71,58,3.68,6,61,REINFORCE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.6,1.3,1.5,87,MODEL,.27,.64,1.5,42,WATCH,-.41,.3,1.5,20,INTERVENE,34,834,2.31,8,29,WATCH,30,834,15,834,7,834,13,834,88,759,6,6,100,MODEL,66,834,0,.5,0,INTERVENE,88,834,1.53,2.5,61,REINFORCE,62,.62,1,62,REINFORCE,0,0,1,0,INTERVENE,4,0,1,0,INTERVENE,90,185,2.65,4.5,59,REINFORCE,42,172,.48,1.5,32,WATCH,25,170,.37,1,37,WATCH,15,170,61,170,2,170,0,1,0,INTERVENE,57,170,41,170,59,170,.69,1,69,REINFORCE,24,.24,1,24,INTERVENE,Data Not Available,Data Not Available,Data Not Available,50
New Foundations Charter School,W34,HS,High School,8001 Torresdale Ave.,Philadelphia,PA,19136,215-624-8100,215-624-0600,Charter,N/A,746,www.nfcsonline.org,'9-12',Citywide With Criteria,5,Charter,Charter,,59,REINFORCE,11th out of 83,7th out of 10,33,WATCH,14th out of 79,8th out of 10,72,REINFORCE,10th out of 83,2nd out of 10,74,REINFORCE,17th out of 84,9th out of 10,53,REINFORCE,23rd out of 77,8th out of 9,34,400,1.35,8,17,INTERVENE,10,400,.62,1.5,41,WATCH,42,353,2.25,8,28,WATCH,10,353,.61,1.5,41,WATCH,63,282,4.31,8,54,REINFORCE,2,282,.13,1.5,9,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.77,6,6.5,92,MODEL,-.5,1.08,6.5,17,INTERVENE,2.2,6.5,6.5,100,MODEL,92,523,5.86,8,73,REINFORCE,80,51,4.85,6,81,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2.38,1.5,1.5,100,MODEL,.58,.79,1.5,53,REINFORCE,.38,.69,1.5,46,WATCH,66,757,7.3,8,91,MODEL,27,757,3,757,2,757,2,757,92,746,6,6,100,MODEL,85,757,0,.5,0,INTERVENE,89,757,1.54,2.5,62,REINFORCE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,2,0,1,0,INTERVENE,92,164,3.07,4.5,68,REINFORCE,69,151,1.2,1.5,80,MODEL,13,152,.08,1,8,INTERVENE,14,152,73,152,18,152,.21,1,21,INTERVENE,73,152,9,152,63,152,.76,1,76,MODEL,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
Philadelphia Performing Arts: A String Theory Charter School,W36,HS,High School,2600 S. Broad St.,Philadelphia,PA,19145,215-551-4000,215-551-1113,Charter,N/A,550,www.ppacs.net,'9-11',Citywide With Criteria,5,Charter,Charter,,38,WATCH,29th out of 83,10th out of 10,14,INTERVENE,24th out of 79,10th out of 10,32,WATCH,36th out of 83,9th out of 10,84,MODEL,10th out of 84,6th out of 10,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,15,262,0,8,0,INTERVENE,0,262,.02,1.5,2,INTERVENE,21,277,.13,8,2,INTERVENE,5,277,.33,1.5,22,INTERVENE,54,314,3.38,8,42,WATCH,2,314,.11,1.5,8,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-5.54,0,6.5,0,INTERVENE,-4.13,0,6.5,0,INTERVENE,.89,4.1,6.5,63,REINFORCE,91,481,5.73,8,72,REINFORCE,54,52,1.66,6,28,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-3.57,0,1.5,0,INTERVENE,.23,.62,1.5,41,WATCH,-2.3,0,1.5,0,INTERVENE,58,604,6.12,8,77,MODEL,26,604,10,604,3,604,3,604,94,546,6,6,100,MODEL,99,604,.43,.5,87,MODEL,98,604,2.35,2.5,94,MODEL,66,.66,1,66,REINFORCE,88,.88,1,88,MODEL,25,.39,1,39,WATCH,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,30,.3,1,30,WATCH,Data Not Available,Data Not Available,Data Not Available,53
Delaware Valley Charter High School,W42,HS,High School,5201 Old York Rd.  Suite A,Philadelphia,PA,19141,215-455-2550,215-455-5701,Charter,N/A,606,www.dvchs.net,'9-12',Citywide,2,Charter,Charter,,7,INTERVENE,77th out of 83,17th out of 20,0,INTERVENE,79th out of 79,20th out of 20,9,INTERVENE,72nd out of 83,15th out of 20,7,INTERVENE,78th out of 84,17th out of 21,24,INTERVENE,49th out of 77,10th out of 19,5,231,0,8,0,INTERVENE,0,231,0,1.5,0,INTERVENE,3,243,0,8,0,INTERVENE,0,243,0,1.5,0,INTERVENE,11,209,0,8,0,INTERVENE,0,209,0,1.5,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.91,0,6.5,0,INTERVENE,-4.51,0,6.5,0,INTERVENE,-1.46,0,6.5,0,INTERVENE,60,161,0,8,0,INTERVENE,46,181,.7,6,12,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.57,1.29,1.5,86,MODEL,1.6,1.3,1.5,87,MODEL,-1.99,0,1.5,0,INTERVENE,18,659,0,8,0,INTERVENE,21,659,16,659,11,659,34,659,77,599,1.38,6,23,INTERVENE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,63,659,0,2.5,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,81,182,1.14,4.5,25,WATCH,51,161,.71,1.5,47,WATCH,0,156,0,1,0,INTERVENE,15,156,85,156,1,156,0,1,0,INTERVENE,79,156,20,156,53,156,.55,1,55,REINFORCE,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
